,Name,ReleaseYear,Duration_min,NumberOfRatings,NumberOfReviews,NumberOfCriticReviews,Rating
0,Shershaah,2021,135,58000,2000,23,8.8
1,Once Upon a Time... In Hollywood,2019,161,623000,5500,646,7.6
2,Zack Snyder's Justice League,2021,242,328000,7700,289,8.1
3,The Shawshank Redemption,1994,142,240000,9300,185,9.3
4,The Godfather,1972,175,170000,4500,267,9.2
5,Jaws,1975,124,562000,1300,282,8.0
6,Guardians of the Galaxy,2014,121,110000,1400,728,8.0
7,Avengers: Endgame,2019,181,924000,9200,583,8.4
8,The Wolf of Wall Street,2013,180,130000,1600,646,8.2
9,Harry Potter and the Sorcerer's Stone,2001,152,693000,1800,272,7.6
10,Joker,2019,122,110000,11000,741,8.4
11,The Dark Knight,2008,152,240000,7500,434,9.0
12,Knives Out,2019,130,516000,2600,478,7.9
13,Pulp Fiction,1994,154,190000,3200,296,8.9
14,Interstellar,2014,169,160000,4600,634,8.6
15,The Lord of the Rings: The Fellowship of the Ring,2001,178,170000,5500,349,8.8
16,Forrest Gump,1994,142,190000,2700,169,8.8
17,The Matrix,1999,136,170000,4500,348,8.7
18,Back to the Future,1985,116,110000,1300,266,8.5
19,Inception,2010,148,220000,4300,484,8.8
20,Django Unchained,2012,165,140000,1600,664,8.4
21,Parasite,2019,132,647000,3200,595,8.6
22,Tombstone,1993,130,134000,547,89,7.8
23,Guardians of the Galaxy Vol. 2,2017,136,605000,1100,592,7.6
24,Titanic,1997,194,110000,3000,341,7.8
25,Thor: Ragnarok,2017,130,639000,1700,529,7.9
26,Inglourious Basterds,2009,153,130000,1900,406,8.3
27,The Gentlemen,2019,113,277000,1500,289,7.8
28,Blade Runner 2049,2017,164,493000,2300,641,8.0
29,The Father,2020,97,87000,711,268,8.3
30,The Departed,2006,151,120000,2400,300,8.5
31,Jurassic Park,1993,127,903000,1200,360,8.1
32,Another Round,2020,117,101000,375,244,7.8
33,Ferris Bueller's Day Off,1986,103,333000,628,151,7.8
