,Name,ReleaseYear,Duration_min,NumberOfRatings,NumberOfReviews,NumberOfCriticReviews,Rating
0,The Shawshank Redemption,1994,142,250000,9400,185,9.3
1,The Godfather,1972,175,170000,4500,267,9.2
2,The Godfather: Part II,1974,202,120000,1100,189,9.0
3,The Dark Knight,2008,152,240000,7500,434,9.0
4,12 Angry Men,1957,96,726000,1800,159,9.0
5,Schindler's List,1993,195,130000,2000,181,8.9
6,The Lord of the Rings: The Return of the King,2003,201,170000,3900,359,8.9
7,Pulp Fiction,1994,154,190000,3300,297,8.9
8,The Good  the Bad and the Ugly,1966,178,715000,1200,146,8.8
9,The Lord of the Rings: The Fellowship of the Ring,2001,178,170000,5500,200,8.8
10,Fight Club,1999,139,190000,4000,382,8.8
11,Forrest Gump,1994,142,190000,2700,169,8.8
12,Inception,2010,148,220000,4300,484,8.8
13,The Lord of the Rings: The Two Towers,2002,179,150000,2600,327,8.7
14,Star Wars: Episode V - The Empire Strikes Back,1980,124,120000,1300,237,8.7
15,The Matrix,1999,136,170000,4500,348,8.7
16,Goodfellas,1990,146,110000,1400,152,8.7
17,One Flew Over the Cuckoo's Nest,1975,133,951000,1000,186,8.7
18,Seven Samurai,1954,207,328000,769,143,8.6
19,Se7en,1995,127,150000,1600,234,8.6
20,The Silence of the Lambs,1991,118,130000,1400,241,8.6
21,City of God,2002,130,720000,1000,219,8.6
22,Life Is Beautiful,1997,116,649000,1400,159,8.6
23,It's a Wonderful Life,1946,130,421000,1000,185,8.6
24,Star Wars: Episode IV - A New Hope,1977,121,130000,1900,201,8.6
25,Saving Private Ryan,1998,169,130000,2700,274,8.6
26,Spirited Away,2001,125,690000,1400,206,8.6
27,Interstellar,2014,169,160000,4600,634,8.6
28,The Green Mile,1999,189,120000,1900,213,8.6
29,Parasite,2019,132,652000,3200,596,8.6
30,Léon: The Professional,1994,110,110000,1300,147,8.5
31,Hara-Kiri,1962,133,48000,274,78,8.6
32,The Pianist,2002,150,767000,1000,161,8.5
33,The Usual Suspects,1995,106,100000,1400,152,8.5
34,Terminator 2: Judgment Day,1991,137,100000,1300,309,8.5
35,Back to the Future,1985,116,110000,1300,266,8.5
36,Psycho,1960,109,628000,1400,246,8.5
37,Modern Times,1936,87,228000,332,120,8.5
38,The Lion King,1994,88,980000,1100,229,8.5
39,American History X,1998,119,110000,1600,128,8.5
40,City Lights,1931,87,175000,315,129,8.5
41,Grave of the Fireflies,1988,89,251000,856,134,8.5
42,Gladiator,2000,155,140000,2700,219,8.5
43,Whiplash,2014,106,759000,1400,592,8.5
44,The Departed,2006,151,120000,2400,302,8.5
45,The Intouchables,2011,112,793000,713,332,8.5
46,The Prestige,2006,130,120000,1500,370,8.5
47,Casablanca,1942,102,541000,1400,210,8.5
48,Once Upon a Time in the West,1968,165,313000,769,156,8.5
49,Rear Window,1954,112,463000,931,172,8.5
50,Cinema Paradiso,1988,155,244000,565,135,8.5
51,Alien,1979,117,820000,1500,313,8.4
52,Apocalypse Now,1979,147,628000,1200,316,8.4
53,Memento,2000,113,120000,2300,233,8.4
54,Indiana Jones and the Raiders of the Lost Ark,1981,115,914000,1000,272,8.4
55,The Great Dictator,1940,125,212000,298,117,8.4
56,The Lives of Others,2006,137,371000,537,227,8.4
57,Django Unchained,2012,165,140000,1700,664,8.4
58,Paths of Glory,1957,88,186000,466,169,8.4
59,Sunset Blvd.,1950,110,210000,660,188,8.4
60,WALL·E,2008,98,100000,1300,274,8.4
61,The Shining,1980,146,938000,2000,360,8.4
62,Avengers: Infinity War,2018,149,916000,4400,623,8.4
63,Witness for the Prosecution,1957,116,116000,291,108,8.4
64,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,466000,1000,235,8.4
65,Spider-Man: Into the Spider-Verse,2018,117,422000,2000,414,8.4
66,Joker,2019,122,110000,11000,743,8.4
67,Princess Mononoke,1997,134,363000,760,209,8.4
68,Oldboy,2003,120,538000,1000,343,8.4
69,Your Name.,2016,106,222000,861,240,8.4
70,Once Upon a Time in America,1984,229,326000,731,138,8.4
71,The Dark Knight Rises,2012,164,160000,3400,557,8.4
72,Aliens,1986,137,676000,1400,217,8.3
73,Coco,2017,105,428000,1200,416,8.4
74,Hamilton,2020,160,72000,633,104,8.4
75,Capharnaüm,2018,126,74000,430,194,8.4
76,Das Boot,1981,149,240000,539,118,8.3
77,Avengers: Endgame,2019,181,929000,9200,582,8.4
78,High and Low,1963,143,39000,143,97,8.4
79,American Beauty,1999,122,110000,2900,207,8.3
80,Toy Story,1995,81,924000,688,166,8.3
81,3 Idiots,2009,170,366000,828,60,8.4
82,Amadeus,1984,160,381000,679,126,8.3
83,Braveheart,1995,178,986000,1300,155,8.3
84,Inglourious Basterds,2009,153,130000,2000,406,8.3
